Time,Temperature (°F),Temperature (°C),Dew Point (°F),Dew Point (°C),Humidity (%),Wind Speed (miles per hour),Event Trigger
3:00 PM,95,35,57,13.9,28,7,0
4:00 PM,95,35,57,13.9,28,9,0
5:00 PM,91,32.8,55,12.8,29,7,0
6:00 PM,91,32.8,55,12.8,29,7,0
7:00 PM,90,32.2,55,12.8,31,5,0
8:00 PM,82,27.8,59,15,45,5,0
9:00 PM,82,27.8,59,15,45,3,0
10:00 PM,81,27.2,59,15,48,5,0
11:00 PM,79,26.1,61,16.1,54,5,0
12:00 AM,81,27.2,67,19.4,62,6,0
1:00 AM,94,34.4,81,27.2,53,5,0
2:00 AM,103,39.4,92,33.3,40,9,0
3:00 AM,89,31.7,76,24.4,78,10,1
4:00 AM,85,29.4,73,22.8,37,6,0
5:00 AM,82,27.8,76,24.4,65,4,0
6:00 AM,103,39.4,98,36.7,67,14,1
7:00 AM,95,35,84,28.9,69,12,1
8:00 AM,81,27.2,70,21.1,49,5,0
9:00 AM,100,37.8,88,31.1,64,3,1
10:00 AM,93,33.9,84,28.9,77,10,1
11:00 AM,97,36.1,90,32.2,54,5,0
12:00 PM,85,29.4,73,22.8,64,14,0
1:00 PM,85,29.4,75,23.9,54,12,0
2:00 PM,98,36.7,91,32.8,58,9,0
3:00 PM,95,35,90,32.2,47,12,0
4:00 PM,78,25.6,71,21.7,75,7,0
5:00 PM,82,27.8,73,22.8,47,12,0
6:00 PM,98,36.7,91,32.8,31,7,0
7:00 PM,77,25,72,22.2,64,9,0
8:00 PM,96,35.6,87,30.6,45,11,0
9:00 PM,95,35,81,27.2,70,14,1
10:00 PM,76,24.4,65,18.3,65,7,0
11:00 PM,98,36.7,87,30.6,62,3,1
12:00 AM,86,30,73,22.8,33,12,0
1:00 AM,104,40,90,32.2,62,12,1
2:00 AM,80,26.7,66,18.9,43,3,0
3:00 AM,76,24.4,69,20.6,50,4,0
4:00 AM,102,38.9,91,32.8,77,8,1
5:00 AM,95,35,90,32.2,49,11,0
6:00 AM,75,23.9,67,19.4,37,10,0
7:00 AM,86,30,78,25.6,36,7,0
8:00 AM,100,37.8,91,32.8,32,3,0
9:00 AM,96,35.6,85,29.4,46,9,0
10:00 AM,103,39.4,92,33.3,62,7,1
11:00 AM,86,30,78,25.6,77,8,1
12:00 PM,99,37.2,88,31.1,41,9,0
1:00 PM,91,32.8,84,28.9,51,5,0
2:00 PM,101,38.3,91,32.8,51,14,0
3:00 PM,101,38.3,95,35,75,12,1
4:00 PM,84,28.9,70,21.1,59,5,0
5:00 PM,102,38.9,89,31.7,67,7,1
6:00 PM,102,38.9,93,33.9,67,8,1
7:00 PM,90,32.2,80,26.7,74,11,1
8:00 PM,89,31.7,81,27.2,37,14,0
9:00 PM,104,40,90,32.2,56,7,0
10:00 PM,104,40,93,33.9,56,3,0
11:00 PM,89,31.7,76,24.4,63,6,1
12:00 AM,104,40,93,33.9,50,7,0
1:00 AM,93,33.9,88,31.1,59,14,0
2:00 AM,86,30,81,27.2,62,12,1
3:00 AM,97,36.1,84,28.9,57,12,0
4:00 AM,94,34.4,81,27.2,76,7,1
5:00 AM,99,37.2,91,32.8,62,9,1
6:00 AM,77,25,64,17.8,34,6,0
7:00 AM,79,26.1,72,22.2,77,3,0
8:00 AM,93,33.9,82,27.8,48,7,0
9:00 AM,81,27.2,71,21.7,33,9,0
10:00 AM,95,35,83,28.3,64,12,1
11:00 AM,83,28.3,70,21.1,78,12,0
12:00 PM,81,27.2,72,22.2,46,8,0
1:00 PM,92,33.3,87,30.6,73,7,1
2:00 PM,78,25.6,71,21.7,57,6,0
3:00 PM,99,37.2,85,29.4,59,4,0
4:00 PM,102,38.9,90,32.2,58,6,0
5:00 PM,88,31.1,78,25.6,75,12,1
6:00 PM,92,33.3,80,26.7,35,12,0
7:00 PM,100,37.8,87,30.6,64,5,1
8:00 PM,83,28.3,75,23.9,70,12,0
9:00 PM,100,37.8,95,35,66,3,1
10:00 PM,95,35,90,32.2,53,10,0
11:00 PM,76,24.4,62,16.7,58,7,0
12:00 AM,94,34.4,86,30,78,6,1
1:00 AM,102,38.9,91,32.8,75,10,1
2:00 AM,89,31.7,83,28.3,60,9,1
3:00 AM,102,38.9,95,35,64,4,1
4:00 AM,81,27.2,76,24.4,62,3,0
5:00 AM,86,30,77,25,50,14,0
6:00 AM,103,39.4,98,36.7,61,13,1
7:00 AM,82,27.8,70,21.1,52,6,0
8:00 AM,89,31.7,84,28.9,62,10,1
9:00 AM,77,25,72,22.2,32,14,0
10:00 AM,88,31.1,82,27.8,47,4,0
11:00 AM,91,32.8,85,29.4,54,5,0
12:00 PM,78,25.6,68,20,71,14,0
1:00 PM,92,33.3,81,27.2,60,3,1
2:00 PM,82,27.8,73,22.8,32,3,0
3:00 PM,78,25.6,73,22.8,69,5,0
4:00 PM,76,24.4,71,21.7,75,13,0
5:00 PM,104,40,97,36.1,53,7,0
6:00 PM,80,26.7,74,23.3,79,14,0
7:00 PM,96,35.6,87,30.6,61,5,1
8:00 PM,84,28.9,70,21.1,76,3,0
9:00 PM,78,25.6,68,20,51,3,0
10:00 PM,96,35.6,85,29.4,52,10,0
11:00 PM,103,39.4,95,35,31,12,0
12:00 AM,92,33.3,81,27.2,56,13,0
1:00 AM,100,37.8,88,31.1,71,14,1
2:00 AM,86,30,81,27.2,31,14,0
3:00 AM,76,24.4,66,18.9,55,4,0
4:00 AM,84,28.9,72,22.2,46,5,0
5:00 AM,104,40,95,35,69,4,1
6:00 AM,78,25.6,70,21.1,62,5,0
7:00 AM,88,31.1,82,27.8,38,9,0
8:00 AM,90,32.2,80,26.7,72,3,1
9:00 AM,89,31.7,79,26.1,77,12,1
10:00 AM,82,27.8,77,25,68,10,0
11:00 AM,88,31.1,75,23.9,58,12,0
12:00 PM,97,36.1,87,30.6,71,12,1
1:00 PM,102,38.9,95,35,55,12,0
2:00 PM,99,37.2,91,32.8,64,4,1
3:00 PM,104,40,96,35.6,79,5,1
4:00 PM,82,27.8,75,23.9,54,11,0
5:00 PM,95,35,81,27.2,53,9,0
6:00 PM,90,32.2,83,28.3,42,6,0
7:00 PM,87,30.6,80,26.7,36,12,0
8:00 PM,92,33.3,84,28.9,65,7,1
9:00 PM,89,31.7,78,25.6,74,4,1
10:00 PM,95,35,87,30.6,49,13,0
11:00 PM,98,36.7,85,29.4,30,10,0
12:00 AM,100,37.8,95,35,37,6,0
1:00 AM,99,37.2,87,30.6,75,11,1
2:00 AM,102,38.9,91,32.8,45,7,0
3:00 AM,102,38.9,96,35.6,43,11,0
4:00 AM,102,38.9,90,32.2,41,6,0
5:00 AM,87,30.6,82,27.8,52,12,0
6:00 AM,83,28.3,70,21.1,44,7,0
7:00 AM,103,39.4,90,32.2,57,11,0
8:00 AM,89,31.7,83,28.3,63,10,1
9:00 AM,87,30.6,76,24.4,31,5,0
10:00 AM,75,23.9,61,16.1,61,3,0
11:00 AM,99,37.2,92,33.3,52,5,0
12:00 PM,81,27.2,70,21.1,51,6,0
1:00 PM,83,28.3,69,20.6,54,4,0
2:00 PM,98,36.7,85,29.4,51,3,0
3:00 PM,75,23.9,67,19.4,51,9,0
4:00 PM,86,30,81,27.2,78,10,1
5:00 PM,82,27.8,76,24.4,71,9,0
6:00 PM,98,36.7,93,33.9,35,7,0
7:00 PM,85,29.4,76,24.4,44,14,0
8:00 PM,93,33.9,84,28.9,72,3,1
9:00 PM,91,32.8,80,26.7,66,9,1
10:00 PM,82,27.8,69,20.6,62,9,0
11:00 PM,77,25,64,17.8,37,11,0
12:00 AM,77,25,70,21.1,73,5,0
1:00 AM,75,23.9,68,20,73,11,0
2:00 AM,101,38.3,94,34.4,34,3,0
3:00 AM,79,26.1,71,21.7,68,3,0
4:00 AM,84,28.9,72,22.2,33,6,0
5:00 AM,81,27.2,71,21.7,35,11,0
